quote,date,place,occasion,publish,remarks
"There's going to be no harm done to gold and silver as opposed to yesterday, when Ron Paul said, 'Yes.'",,,,,
There's never been more transparency than you will see with my tweets.,,,,,
There's nobody bigger or better at the military than me.,,,,,
"They said, 'Sir, would you mind going back? Would you mind if we didn't stop?' I said, 'There's no way. We cannot stop,' right?",,,,,This was Trump describing what the pilots on Air Force One were telling him as the plane was circling above a South Carolina campaign rally. Also: “There’s no way. We cannot stop” is a decent slogan for the Trump presidency.
They say I'm doing excellent on social media—it's because I love communicating directly.,,,,,
"They're sending people that have lots of problems, and they're bringing those problems with us. They're bringing drugs. They're bringing crime. They're rapists. And some, I assume, are good people.",2015.06.15,,Campaign launch rally,,
"Think big, think differently, embrace possibility.",,,,,
"To be blunt, people would vote for me. They just would. Why? Maybe because I'm so good looking.",1999.09.19,,,New York Times,
"To be honest – I'll be honest, I thought it was a – I thought it was a very close to complete victory.",,,,,"Trump on the day after the 2018 election in which his party lost 40 seats and control of the House, not to mention seven governorships and hundreds of state legislative seats. But, sure!"
"To become yourself, innovate.",,,,,
"Together, We will make America strong again. We will make wealthy again. We will make America proud again. We will make America safe again. And yes, together, we will make America great again. Thank you. God bless you. And God bless America.",,,,,
"True leadership must be for the benefit of the follower, not to enrich the leader.",,,,,
We are going to drain the swamp in Washington D.C.,,,,,
"We are living in the age of social media, but the reality is, I'm still the media champion.",,,,,
"We are up BIG, but they are trying to STEAL the Election. We will never let them do it. Votes cannot be cast after the Polls are closed!",2020.09.04,,,,
"We condemn in the strongest possible terms this egregious display of hatred, bigotry and violence on many sides. On many sides.",2017.08.12,,,Washington Post,
"We got more money. We got more brains. We got better houses, apartments. We got nicer boats. We're smarter than they are. And they say, 'The elite.'",,,,,
We have it totally under control. It's one person coming in from China. It's going to be just fine.,2020.01.22,,,,
We have the worst laws.,,,,,
"We have to go see Bill Gates and a lot of different people that really understand what's happening. We have to talk to them, maybe in certain areas, closing that Internet up in some way. Somebody will say, 'Oh, freedom of speech, freedom of speech.' These are foolish people. We have a lot of foolish people.",,,,,
We have triumphed over evil like nobody has seen before.,,,,,
We love winners. We love winners. Winners are winners.,,,,,
"We must speak our minds openly, debate our disagreements honestly, but always pursue solidarity.",,,,,
"We need a president with tremendous intelligence, smarts, cunning, strength and stamina.",,,,,
"We need strength, leadership, and intelligence to win the war against terrorism.",,,,,
"We need to build a wall, and it has to be built quickly.",,,,,
"We share one heart, one home, and one glorious destiny.",,,,,
We will become the great nation we were again.,,,,,
We will make America loving again. Love it. Love it.,,,,,
We will make America strong again. We will make America proud again. We will make America safe again. And we will make America great again.,,,,,
"We will not forget our country, our Constitution and our God.",,,,,
"We're … increasing our budget by many billions of dollars, because of North Korea and other reasons, having to do with the anti-missile.",2017.08.11,,,CNN,
